Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PIH,"1347 Property Insurance Holdings, Inc.",7.05,$42.19M,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih
TURN,180 Degree Capital Corp.,1.75,$54.46M,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",10.7,$691.48M,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),19.15,$154.6M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,48.95,$1.27B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",7.77,$867.52M,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",68.06,$3.55B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
JOBS,"51job, Inc.",66.85,$4.13B,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
CAFD,8point3 Energy Partners LP,12.33,$975.12M,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,16.35,$1.51B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",16.15,$362.66M,n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",35.55,$1.05B,1972,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/shlm
AAON,"AAON, Inc.",33.05,$1.73B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
ABAX,"ABAXIS, Inc.",62.84,$1.43B,1992,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/abax
ABEO,Abeona Therapeutics Inc.,15.55,$727.36M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,10.5,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,0.3949,$10.17M,2014,Finance,Business Services,https://www.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",229.5,$10.16B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd
ABLX,Ablynx NV,52.9,$3.97B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ablx
AXAS,Abraxas Petroleum Corporation,2.12,$351.69M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,12.55,$714.37M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",38.11,$1.5B,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,3.5,$177.12M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",34.02,$2.99B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,28.35,$3.52B,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",1.05,$26.88M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",23.6,$1.31B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx
XLRN,Acceleron Pharma Inc.,38.97,$1.76B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn
ANCX,Access National Corporation,28.45,$584.2M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,5.05,$430.74M,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",1.85,$93.13M,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,17.64,$132.25M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer
ACERW,Acer Therapeutics Inc.,0.011,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acerw
ACET,Aceto Corporation,7.43,$228.57M,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/acet
AKAO,"Achaogen, Inc.",10.64,$451.07M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akao
ACHV,"Achieve Life Sciences, Inc. ",1.46,$17.44M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv
ACHN,"Achillion Pharmaceuticals, Inc.",2.85,$392.89M,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",20.71,$2.46B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",19.57,$603.43M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs
ACMR,"ACM Research, Inc.",6.44,$98.82M,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,27.7,$194.44M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",23.85,$1.11B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor
ATVI,"Activision Blizzard, Inc",65.83,$49.77B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi
ACXM,Acxiom Corporation,26.03,$2.06B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/acxm
ADMS,"Adamas Pharmaceuticals, Inc.",35.28,$803.64M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,3.7,$123.53M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp
ADAP,Adaptimmune Therapeutics plc,8.36,$783.22M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,35.85,$416.99M,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",1.4096,$14.41M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey
IOTS,Adesto Technologies Corporation,5.8,$122.61M,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots
ADMA,ADMA Biologics Inc,3.64,$164.95M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma
ADBE,Adobe Systems Incorporated,185.16,$91.02B,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe
ADOM,"ADOMANI, Inc.",1.55,$111.19M,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom
ADTN,"ADTRAN, Inc.",15.9,$765.58M,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",6.05,$467.69M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro
AAAP,Advanced Accelerator Applications S.A.,81.5,$3.6B,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aaap
ADES,"Advanced Emissions Solutions, Inc.",8.24,$173.78M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",62.4,$2.47B,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis
AMD,"Advanced Micro Devices, Inc.",11.22,$10.83B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd
ADXS,"Advaxis, Inc.",2.7,$114.17M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs
ADXSW,"Advaxis, Inc.",0.71,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxsw
ADVM,"Adverum Biotechnologies, Inc.",7.5,$337.81M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm
ACT,AdvisorShares Vice ETF,24.96,$14.98M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act
AEGN,Aegion Corp,23.91,$777.72M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn
AGLE,"Aeglea BioTherapeutics, Inc.",6.19,$103.03M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle
AEHR,Aehr Test Systems,2.27,$49.49M,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",0.5599,$11.1M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx
AERI,"Aerie Pharmaceuticals, Inc.",53.55,$2.1B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri
AVAV,"AeroVironment, Inc.",46.01,$1.1B,2007,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/avav
AEZS,AEterna Zentaris Inc.,1.95,$32.06M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",1.43,$23.71M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd
GNMX,"Aevi Genomic Medicine, Inc.",2.14,$126.97M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/gnmx
AFMD,Affimed N.V.,2.4,$107.21M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd
AGEN,Agenus Inc.,3.71,$371.68M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",3.27,$111.79M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx
AGYS,"Agilysys, Inc.",11.46,$267.17M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",74.26,$4.14B,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio
AGNC,AGNC Investment Corp.,18.48,$7.23B,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,25.35,$8.78B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb
AGNCN,AGNC Investment Corp.,25.45,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn
AGFS,"AgroFresh Solutions, Inc.",7.25,$364.95M,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.47,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw
ALRN,"Aileron Therapeutics, Inc.",7.73,$113.78M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn
AIMT,"Aimmune Therapeutics, Inc.",36.58,$1.87B,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt
AIRT,"Air T, Inc.",28.95,$59.14M,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",22.98,$1.36B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/atsg
AIRG,"Airgain, Inc.",9.76,$93.49M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,1.06,$66.58M,2007,Technology,Advertising,https://www.nasdaq.com/symbol/amcn
AKAM,"Akamai Technologies, Inc.",62.49,$10.62B,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,2.29,$34.94M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx
AKCA,"Akcea Therapeutics, Inc.",21.55,$1.43B,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca
AKBA,"Akebia Therapeutics, Inc.",14,$661.77M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc,0.4418,$13.88M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",31.19,$3.9B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akrx
AKTS,"Akoustis Technologies, Inc.",5.77,$126.99M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts
ALRM,"Alarm.com Holdings, Inc.",35.01,$1.65B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/alrm
ALSK,"Alaska Communications Systems Group, Inc.",2.25,$236.01M,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk
ALBO,"Albireo Pharma, Inc.",34.45,$384.63M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,7.45,$106.13M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc
ALDR,"Alder BioPharmaceuticals, Inc.",13.25,$898.92M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",6.75,$129.04M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx
ALXN,"Alexion Pharmaceuticals, Inc.",108.47,$24.23B,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn
ALCO,"Alico, Inc.",26.15,$215.72M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",220.71,$17.7B,2001,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",1.09,$75.37M,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim
ALJJ,"ALJ Regional Holdings, Inc.",2.98,$112.11M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,53.67,$8.25B,1991,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alks
ABTX,"Allegiance Bancshares, Inc.",38.2,$503.53M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,157.4,$2.5B,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt
ALNA,"Allena Pharmaceuticals, Inc.",7.36,$152.13M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna
AHGP,"Alliance Holdings GP, L.P.",26.82,$1.61B,2006,Energy,Coal Mining,https://www.nasdaq.com/symbol/ahgp
AMMA,"Alliance MMA, Inc.",0.655,$8.29M,2016,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/amma
ARLP,"Alliance Resource Partners, L.P.",18.4,$2.4B,1999,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",1.78,$7.14M,1992,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",29.86,$282.27M,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot
ALQA,"Alliqua BioMedical, Inc.",1.73,$8.63M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/alqa
ALLT,Allot Communications Ltd.,5.08,$168.22M,2006,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",13.63,$2.46B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx
AFAM,Almost Family Inc,56.85,$794.08M,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/afam
ALNY,"Alnylam Pharmaceuticals, Inc.",116.32,$11.54B,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,14.58,$348.1M,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/aosl
GOOG,Alphabet Inc.,1001.52,$696.35B,2004,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,1007.71,$700.66B,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl
SMCP,AlphaMark Actively Managed Small Cap ETF,24.871,$27.36M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/smcp
ATEC,"Alphatec Holdings, Inc.",3.24,$54.19M,2006,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atec
ALPN,"Alpine Immune Sciences, Inc.",10.55,$146.45M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alpn
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,28.8526,$10.1M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/swin
AABA,Altaba Inc.,69.15,$60.39B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba
ALTR,Altair Engineering Inc.,25.29,$1.59B,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/altr
ALT,"Altimmune, Inc.",1.53,$23.95M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alt
ASPS,Altisource Portfolio Solutions S.A.,24.19,$433.12M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/asps
AIMC,Altra Industrial Motion Corp.,46.2,$1.35B,2006,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aimc
AMAG,"AMAG Pharmaceuticals, Inc.",12.3,$435.1M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amag
AMRN,Amarin Corporation plc,3.48,$1.02B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrn
AMRK,"A-Mark Precious Metals, Inc.",12.13,$85.29M,n/a,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk
AMZN,"Amazon.com, Inc.",1350.5,$653.79B,1997,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",14.62,$661.57M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",6.06,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambcw
AMBA,"Ambarella, Inc.",46.2,$1.54B,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/amba
AMCX,AMC Networks Inc.,50.58,$3.13B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/amcx
DOX,Amdocs Limited,63.79,$9.18B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dox
AMDA,Amedica Corporation,2.66,$8.18M,2014,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/amda
AMED,Amedisys Inc,55.24,$1.87B,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/amed
UHAL,Amerco,351.67,$6.9B,n/a,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/uhal
AMRH,"Ameri Holdings, Inc.",1.92,$30.44M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrh
AMRHW,"Ameri Holdings, Inc.",0.5497,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrhw
ATAX,"America First Multifamily Investors, L.P.",6.15,$370.56M,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",17.62,$58.2B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov
CRMT,"America&#39;s Car-Mart, Inc.",44.2,$316.03M,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal
AAL,"American Airlines Group, Inc.",48.6,$23.26B,2014,n/a,n/a,https://www.nasdaq.com/symbol/acsf
ACSF,"American Capital Senior Floating, Ltd.",10.6,$106M,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeti
AETI,"American Electric Technologies, Inc.",1.35,$11.7M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amnb
AMNB,"American National Bankshares, Inc.",36,$311.3M,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/anat
ANAT,American National Insurance Company,116.71,$3.14B,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aobc
AOBC,American Outdoor Brands Corporation,10.78,$583.35M,2007,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apei
APEI,"American Public Education, Inc.",23.4,$380.67M,2006,Capital Goods,Railroads,https://www.nasdaq.com/symbol/arii
ARII,"American Railcar Industries, Inc.",35.81,$683.39M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amrb
AMRB,American River Bankshares,14.95,$91.68M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/amswa
AMSWA,"American Software, Inc.",11.38,$343.14M,1991,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/amsc
AMSC,American Superconductor Corporation,4.51,$94.42M,1986,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/amwd
AMWD,American Woodmark Corporation,120.2,$2.1B,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,51.6,$1.93B,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",57.3,$1.1B,2005,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,4,$72.51M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,27.65,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrvp
ATLO,Ames National Corporation,26.7,$248.6M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/atlo
AMGN,Amgen Inc.,173.12,$124.99B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/amgn
FOLD,"Amicus Therapeutics, Inc.",14.875,$2.48B,2007,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/fold
AMKR,"Amkor Technology, Inc.",8.82,$2.11B,1998,Technology,Semiconductors,https://www.nasdaq.com/symbol/amkr
AMPH,"Amphastar Pharmaceuticals, Inc.",17.85,$820.67M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amph
IBUY,Amplify Online Retail ETF,42.65,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ibuy
ASYS,"Amtech Systems, Inc.",8.61,$128.24M,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/asys
AFSI,"AmTrust Financial Services, Inc.",12.53,$2.46B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afsi
AMRS,"Amyris, Inc.",4.85,$208.71M,2010,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amrs
ADI,"Analog Devices, Inc.",82.68,$30.82B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/adi
ALOG,Analogic Corporation,78.05,$974.43M,1972,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/alog
ANAB,"AnaptysBio, Inc.",104.8,$2.46B,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anab
AVXL,Anavex Life Sciences Corp.,2.61,$115.42M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/avxl
ANCB,Anchor Bancorp,24.8001,$61.6M,2011,Finance,Banks,https://www.nasdaq.com/symbol/ancb
ANDA,Andina Acquisition Corp. II,10.26,$42.58M,2015,Finance,Business Services,https://www.nasdaq.com/symbol/anda
ANDAR,Andina Acquisition Corp. II,1.35,n/a,2015,Finance,Business Services,https://www.nasdaq.com/symbol/andar
ANDAU,Andina Acquisition Corp. II,16.04,n/a,2015,Finance,Business Services,https://www.nasdaq.com/symbol/andau
ANDAW,Andina Acquisition Corp. II,1.85,n/a,2015,Finance,Business Services,https://www.nasdaq.com/symbol/andaw
ANGI,ANGI Homeservices Inc.,13.35,$6.37B,n/a,Consumer Services,Advertising,https://www.nasdaq.com/symbol/angi
ANGO,"AngioDynamics, Inc.",16.4,$602.62M,2004,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/ango
ANIP,"ANI Pharmaceuticals, Inc.",58.03,$676.28M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anip
ANIK,Anika Therapeutics Inc.,57.6,$844.52M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/anik
ANSS,"ANSYS, Inc.",148.84,$12.63B,1996,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/anss
ATRS,"Antares Pharma, Inc.",1.96,$307.08M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atrs
ANTH,"Anthera Pharmaceuticals, Inc.",1.56,$33.5M,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anth
APLS,"Apellis Pharmaceuticals, Inc.",15.01,$755.52M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/apls
APOG,"Apogee Enterprises, Inc.",42.03,$1.19B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/apog
APEN,"Apollo Endosurgery, Inc.",6.25,$108.06M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/apen
AINV,Apollo Investment Corporation,5.48,$1.2B,2004,n/a,n/a,https://www.nasdaq.com/symbol/ainv
AMEH,"Apollo Medical Holdings, Inc.",19.2,$115.84M,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/ameh
APPF,"AppFolio, Inc.",39.05,$1.33B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/appf
APPN,Appian Corporation,27.75,$1.67B,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/appn
AAPL,Apple Inc.,155.15,$787.23B,1980,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl
ARCI,"Appliance Recycling Centers of America, Inc.",0.9399,$6.46M,n/a,Consumer Services,Home Furnishings,https://www.nasdaq.com/symbol/arci
APDN,Applied DNA Sciences Inc,1.52,$45.77M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apdn
APDNW,Applied DNA Sciences Inc,0.3499,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apdnw
AGTC,Applied Genetic Technologies Corporation,4.25,$76.9M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agtc
AMAT,"Applied Materials, Inc.",45.75,$48.2B,1972,Technology,Semiconductors,https://www.nasdaq.com/symbol/amat
